ID,Education,JoiningYear,City,PaymentTier,Age,Gender
1,Bachelors,2017,Bangalore,3,34,Male
2,Bachelors,2013,Pune,1,28,Female
3,Bachelors,2014,New Delhi,3,38,Female
4,Masters,2016,Bangalore,3,27,Male
5,Masters,2017,Pune,3,24,Male
6,Bachelors,2016,Bangalore,3,22,Male
7,Bachelors,2015,New Delhi,3,38,Male
8,Bachelors,2016,Bangalore,3,34,Female
9,Bachelors,2016,Pune,3,23,Male
10,Masters,2017,New Delhi,2,37,Male
11,Masters,2012,Bangalore,3,27,Male
12,Bachelors,2016,Pune,3,34,Male
13,Bachelors,2018,Pune,3,32,Male
14,Bachelors,2016,Bangalore,3,39,Male
15,Bachelors,2012,Bangalore,3,37,Male
16,Bachelors,2017,Bangalore,1,29,Male
17,Bachelors,2014,Bangalore,3,34,Female
18,Bachelors,2014,Pune,3,34,Male
19,Bachelors,2015,Pune,2,30,Female
20,Bachelors,2016,New Delhi,2,22,Female
21,Bachelors,2012,Bangalore,3,37,Male
22,Masters,2017,New Delhi,2,28,Male
23,Bachelors,2017,New Delhi,2,36,Male
24,Bachelors,2015,Bangalore,3,27,Male
25,Bachelors,2017,Bangalore,3,29,Male
26,Bachelors,2013,Bangalore,3,22,Female
27,Bachelors,2016,Bangalore,3,37,Male
28,Bachelors,2015,Bangalore,3,23,Male
29,Bachelors,2013,Pune,2,31,Female
30,Masters,2017,New Delhi,2,30,Female
31,PHD,2013,New Delhi,3,25,Male
32,Bachelors,2014,Bangalore,3,23,Male
33,Bachelors,2018,Bangalore,3,26,Male
34,Bachelors,2016,Bangalore,3,40,Male
35,Bachelors,2017,Pune,2,37,Female
36,Bachelors,2014,Bangalore,1,30,Female
37,Bachelors,2012,New Delhi,3,29,Male
38,Bachelors,2018,New Delhi,2,34,Female
39,Bachelors,2017,Pune,2,29,Female
40,Bachelors,2014,Pune,3,30,Male
41,Bachelors,2015,Bangalore,3,36,Male
42,Masters,2017,New Delhi,2,23,Male
43,Bachelors,2013,Bangalore,3,30,Male
44,Bachelors,2014,Bangalore,3,36,Male
45,Bachelors,2015,Pune,3,39,Male
46,Bachelors,2014,Bangalore,3,23,Female
47,PHD,2012,New Delhi,3,27,Male
48,Masters,2013,New Delhi,3,35,Male
49,Masters,2017,New Delhi,2,34,Male
50,Bachelors,2013,Bangalore,3,30,Female
51,PHD,2017,New Delhi,3,34,Male
52,Bachelors,2015,Pune,2,26,Female
53,Bachelors,2016,Bangalore,3,34,Female
54,Bachelors,2014,Bangalore,3,31,Female
55,Bachelors,2017,New Delhi,3,31,Female
56,PHD,2013,New Delhi,3,28,Male
57,Bachelors,2016,Bangalore,3,38,Male
58,Masters,2014,Pune,3,39,Female
59,Bachelors,2013,Pune,3,32,Male
60,Masters,2017,Pune,2,36,Male
61,Masters,2013,New Delhi,3,29,Male
62,Bachelors,2015,Bangalore,3,30,Male
63,PHD,2013,Bangalore,2,25,Male
64,Bachelors,2014,Pune,1,22,Female
65,Bachelors,2016,Bangalore,3,34,Male
66,Bachelors,2018,Bangalore,3,40,Male
67,PHD,2013,Bangalore,3,26,Male
68,Bachelors,2014,New Delhi,3,28,Male
69,Bachelors,2015,Bangalore,3,24,Female
70,Masters,2017,Bangalore,3,40,Female
71,Bachelors,2018,Bangalore,3,23,Female
72,Masters,2017,Bangalore,3,31,Male
73,Bachelors,2014,Pune,3,25,Female
74,Bachelors,2014,Bangalore,1,27,Male
75,Masters,2017,New Delhi,2,25,Female
76,Bachelors,2015,Bangalore,3,40,Male
77,Bachelors,2014,Bangalore,1,23,Female
78,Bachelors,2017,Bangalore,3,23,Female
79,Bachelors,2012,Bangalore,3,39,Male
80,PHD,2015,New Delhi,1,37,Male
81,Bachelors,2017,Pune,3,38,Male
82,Bachelors,2013,Bangalore,3,31,Female
83,Bachelors,2016,Bangalore,3,38,Male
84,Bachelors,2017,Bangalore,3,25,Female
85,Bachelors,2015,Bangalore,3,27,Female
86,Bachelors,2016,Pune,2,36,Male
87,Bachelors,2017,Pune,2,27,Female
88,Masters,2015,Pune,2,32,Female
89,Bachelors,2014,Bangalore,3,28,Male
90,Masters,2012,New Delhi,3,32,Male
91,Bachelors,2018,Bangalore,3,30,Male
92,Bachelors,2015,New Delhi,3,22,Male
93,Bachelors,2017,New Delhi,2,34,Female
94,Masters,2013,New Delhi,3,36,Male
95,Bachelors,2014,Bangalore,3,39,Male
96,PHD,2018,Bangalore,3,26,Male
97,Bachelors,2016,Bangalore,3,31,Female
98,Bachelors,2014,Bangalore,3,27,Male
99,Bachelors,2014,Bangalore,3,29,Female
100,Bachelors,2015,Bangalore,3,24,Female
